landmark_name,landmark_address,designation_year,start_built_year,recognize_time,architect,latitude,longitude
(Former) Schlitz BreweryTied-House@2159 W.Belmont,2159 W. Belmont Ave.,2011,1903,108,Charles Thisslew,41.94,-87.68
(Former) Schlitz Brewery-Tied House@1801W.Division,1801 W. Division St.,2011,1900,111,Fritz Lang,41.9,-87.67
Ebenezer Missionary Baptist Church Building,4501 S. Vincennes Ave,2011,1898,113,Dankmar Adler,41.81,-87.61
(Former) Schlitz BreweryTied-House@3456SWestern,3456 S. Western Ave.,2011,1899,112,Kley & Lang,41.83,-87.69
(Former) Schlitz Brewery-Tied House,5120 N. Broadway,2011,1904,107,Charles Thisslew,41.98,-87.66
Blackstone Library,4904 S. Lake Park Ave,2011,1904,107,Solon Spencer Beman,41.81,-87.59
(Former) Schlitz Brewery Stable Building,11314 S. Front Ave.,2011,1906,105,Frommann and Jebsen,41.69,-87.61
(Former) Schlitz BreweryTied-House@3159NSouthport,3159 N. Southport Ave.,2011,1903,108,Frommann and Jebsen,41.94,-87.66
Kenwood United Church of Christ,4600-4608 South Greenwood Avenue,2011,1930,81,"William W. Boyington, Henry B. Wheelock,Chatten",41.81,-87.6
Holden Block,1027 W. Madison St.,2011,1872,139,Stephen Vaughn Shipman,41.88,-87.65
White Castle # 16,43 East Cermak Road,2011,1930,81,Lewis E. Russell,41.85,-87.63
Chicago Motor Club Building,69 E. Wacker Place,2012,1928,84,Holabird & Root,41.89,-87.63
Riviera Motor Sales Company Building,5948-60 N. Braodway,2012,1925,87,R. Bernard Kurzon,41.99,-87.66
227 East Walton Place Apartment Building,227 East Walton Place,2012,1956,56,Harry Weese,41.9,-87.62
(Former) Mid-City Trust and Savings Bank Buildings,2 S. Halsted Street,2012,1911,101,Horatio R. Wilson(Original Building),41.88,-87.65
(Former) Pioneer Trust and Savings Bank Building,4000 W. North Ave.,2012,1924,88,Karl M. Vitzthum,41.91,-87.73
Harriet F. Rees House,2110 S. Prairie Ave.,2012,1888,124,Cobb & Frost,41.85,-87.62
Wrigley Building,400-410 North Michigan Avenue,2012,1921,91,"Graham, Anderson, Probst and White",41.89,-87.62
